iter	Passed	Remaining
241	702	2200
242	704	2193
243	706	2188
244	707	2181
245	711	2179
246	713	2174
247	715	2168
248	716	2162
249	718	2156
250	720	2150
251	722	2144
252	726	2146
253	728	2140
254	730	2135
255	733	2130
256	735	2126
257	737	2122
258	741	2120
259	743	2115
260	744	2108
261	746	2104
262	749	2098
263	751	2094
264	753	2089
265	759	2095
266	761	2090
267	763	2085
268	765	2080
269	767	2075
270	769	2071
271	771	2065
272	773	2061
273	775	2055
274	777	2049
275	779	2043
276	780	2037
277	782	2031
278	784	2026
279	786	2023
280	788	2018
281	790	2012
282	792	2007
283	794	2002
284	796	1997
285	798	1992
286	800	1988
287	802	1983
288	804	1978
289	806	1973
290	807	1968
291	809	1963
292	812	1959
293	815	1958
294	818	1955
295	823	1959
296	825	1955
297	827	1949
298	829	1945
299	831	1940
300	833	1935
301	835	1930
302	837	1925
303	838	1920
304	842	1920
305	845	1917
306	847	1913
307	849	1908
308	851	1903
309	853	1898
310	854	1893
311	856	1889
312	858	1884
313	862	1883
314	864	1880
315	866	1876
316	869	1872
317	870	1867
318	872	1862
319	876	1861
320	878	1857
321	879	1852
322	881	1847
323	883	1843
324	885	1838
325	887	1833
326	890	1832
327	892	1827
328	893	1823
329	895	1818
330	897	1814
331	899	1809
332	900	1804
333	902	1799
334	907	1800
335	909	1796
336	910	1792
337	912	1787
338	914	1783
339	916	1778
340	918	1775
341	920	1771
342	922	1767
343	924	1763
344	927	1761
345	929	1756
346	931	1752
347	932	1747
348	936	1746
349	938	1742
350	939	1738
351	941	1733
352	943	1729
353	945	1724
354	946	1720
355	949	1718
356	951	1714
357	953	1709
358	955	1705
359	957	1701
360	959	1697
361	960	1693
362	962	1688
363	965	1687
364	967	1683
365	969	1678
366	970	1674
367	972	1670
368	974	1666
369	976	1662
370	978	1658
371	980	1655
372	985	1655
373	987	1652
374	988	1648
375	990	1644
376	994	1643
377	996	1639
378	998	1636
379	1000	1632
380	1002	1628
381	1004	1624
382	1005	1620
383	1007	1616
384	1010	1613
385	1012	1610
386	1014	1606
387	1017	1604
388	1018	1600
389	1020	1596
390	1022	1593
391	1025	1590
392	1027	1586
393	1029	1582
394	1030	1578
395	1032	1575
396	1034	1571
397	1036	1567
398	1040	1567
399	1042	1564
400	1044	1560
401	1046	1556
402	1047	1552
403	1049	1548
404	1051	1545
405	1054	1542
406	1056	1539
407	1058	1536
408	1060	1532
409	1062	1529
410	1065	1526
411	1067	1522
412	1071	1522
413	1073	1518
414	1075	1515
415	1077	1512
416	1079	1508
417	1081	1505
418	1085	1505
419	1087	1501
420	1089	1498
421	1091	1495
422	1094	1492
423	1095	1488
424	1100	1488
425	1102	1486
426	1107	1485
427	1109	1483
428	1112	1480
429	1118	1482
430	1120	1478
431	1122	1475
432	1124	1472
433	1127	1469
434	1132	1470
435	1137	1471
436	1139	1468
437	1142	1465
438	1149	1469
439	1151	1466
440	1154	1462
441	1158	1462
442	1163	1463
443	1166	1460
444	1174	1464
445	1182	1469
446	1184	1465
447	1189	1465
448	1193	1464
449	1195	1461
450	1199	1459
451	1201	1456
452	1203	1453
453	1205	1450
454	1207	1446
455	1209	1443
456	1211	1439
457	1214	1437
458	1216	1433
459	1218	1430
460	1220	1426
461	1224	1426
462	1226	1422
463	1228	1419
464	1231	1416
465	1232	1412
466	1234	1409
467	1241	1411
468	1243	1408
469	1245	1404
470	1247	1401
471	1250	1399
472	1254	1397
473	1255	1393
474	1257	1390
475	1259	1386
476	1262	1384
477	1266	1383
478	1269	1380
479	1271	1377
480	1274	1374
481	1276	1371
482	1278	1368
483	1282	1367
484	1286	1365
485	1288	1362
486	1290	1359
487	1293	1356
488	1295	1353
489	1297	1350
490	1300	1347
491	1303	1346
492	1306	1343
493	1308	1340
494	1311	1338
495	1314	1335
496	1316	1332
497	1318	1328
498	1320	1325
499	1322	1322
500	1324	1319
501	1328	1317
502	1330	1314
503	1332	1311
504	1335	1308
505	1337	1305
506	1338	1301
507	1342	1300
508	1344	1297
509	1346	1294
510	1348	1290
511	1350	1287
512	1352	1284
513	1354	1281
514	1358	1279
515	1360	1276
516	1362	1273
517	1364	1270
518	1367	1267
519	1370	1264
520	1373	1262
521	1376	1260
522	1378	1257
523	1380	1254
524	1382	1251
525	1385	1248
526	1387	1245
527	1390	1243
528	1393	1241
529	1396	1237
530	1398	1234
531	1402	1233
532	1404	1230
533	1406	1227
534	1408	1224
535	1410	1220
536	1412	1217
537	1414	1214
538	1417	1212
539	1419	1209
540	1421	1206
541	1423	1202
542	1425	1199
543	1427	1196
544	1430	1194
545	1434	1192
546	1436	1189
547	1438	1186
548	1440	1183
549	1442	1180
550	1445	1177
551	1447	1175
552	1450	1172
553	1452	1169
554	1454	1166
555	1456	1163
556	1459	1160
557	1461	1157
558	1463	1154
559	1465	1151
560	1467	1148
561	1469	1145
562	1471	1142
563	1474	1139
564	1476	1136
565	1478	1133
566	1480	1130
567	1484	1128
568	1486	1125
569	1492	1125
570	1494	1123
571	1497	1120
572	1499	1117
573	1501	1114
574	1504	1112
575	1508	1110
576	1510	1107
577	1512	1104
578	1514	1101
579	1516	1098
580	1519	1096
581	1522	1093
582	1524	1090
583	1526	1087
584	1528	1084
585	1530	1081
586	1532	1078
587	1536	1076
588	1538	1073
589	1540	1070
590	1542	1067
591	1544	1064
592	1545	1061
593	1547	1057
594	1551	1055
595	1552	1052
596	1554	1049
597	1556	1046
598	1558	1043
599	1560	1040
600	1563	1037
601	1566	1035
602	1568	1032
603	1573	1031
604	1575	1028
605	1577	1025
606	1579	1022
607	1581	1019
608	1585	1017
609	1586	1014
610	1589	1011
611	1591	1008
612	1597	1008
613	1599	1005
614	1602	1003
615	1604	1000
616	1606	997
617	1608	994
618	1611	992
619	1613	989
620	1615	986
621	1618	983
622	1620	980
623	1622	977
624	1626	975
625	1628	973
626	1630	969
627	1632	967
628	1634	964
629	1636	961
630	1639	958
631	1641	955
632	1643	953
633	1645	950
634	1647	946
635	1649	943
636	1651	941
637	1653	938
638	1655	935
639	1657	932
640	1659	929
641	1662	927
642	1664	924
643	1666	921
644	1667	918
645	1670	915
646	1672	912
647	1674	909
648	1676	906
649	1678	903
650	1679	900
651	1681	897
652	1683	894
653	1686	892
654	1688	889
655	1689	886
656	1691	883
657	1694	880
658	1696	877
659	1698	875
660	1701	872
661	1702	869
662	1704	866
663	1706	863
664	1708	860
665	1710	857
666	1713	855
667	1715	852
668	1719	850
669	1721	847
670	1723	845
671	1725	842
672	1728	840
673	1730	837
674	1732	834
675	1734	831
676	1736	828
677	1738	825
678	1740	822
679	1743	820
680	1745	817
681	1748	815
682	1750	812
683	1752	809
684	1754	807
685	1758	804
686	1759	801
687	1761	798
688	1763	796
689	1766	793
690	1768	790
691	1770	787
692	1773	785
693	1775	782
694	1777	780
695	1779	777
696	1781	774
697	1782	771
698	1784	768
699	1786	765
700	1789	763
701	1790	760
702	1792	757
703	1794	754
704	1796	751
705	1798	749
706	1800	746
707	1803	743
708	1805	740
709	1807	738
710	1809	735
711	1811	732
712	1813	730
713	1818	728
714	1821	725
715	1823	723
716	1824	720
717	1826	717
718	1828	714
719	1831	712
720	1833	709
721	1836	706
722	1837	704
723	1839	701
724	1841	698
725	1844	695
726	1847	693
727	1849	690
728	1851	688
729	1856	686
730	1857	683
731	1859	680
732	1863	678
733	1865	676
734	1867	673
735	1869	670
736	1872	668
737	1873	665
738	1876	662
739	1879	660
740	1881	657
741	1882	654
742	1884	651
743	1886	648
744	1887	646
745	1889	643
746	1892	640
747	1894	638
748	1896	635
749	1897	632
750	1899	629
751	1901	627
752	1903	624
753	1904	621
754	1907	619
755	1909	616
756	1911	613
757	1912	610
758	1914	607
759	1916	605
760	1917	602
761	1919	599
762	1922	597
763	1925	594
764	1930	592
765	1932	590
766	1934	587
767	1937	585
768	1939	582
769	1941	579
770	1942	577
771	1944	574
772	1946	571
773	1948	568
774	1951	566
775	1953	563
776	1955	561
777	1959	559
778	1961	556
779	1964	553
780	1968	551
781	1969	549
782	1971	546
783	1973	543
784	1975	540
785	1976	538
786	1978	535
787	1980	532
788	1983	530
789	1985	527
790	1986	525
791	1988	522
792	1990	519
793	1992	516
794	1995	514
795	1997	511
796	1999	509
797	2001	506
798	2003	504
799	2006	501
800	2008	498
801	2010	496
802	2012	493
803	2014	491
804	2016	488
805	2018	485
806	2020	483
807	2022	480
808	2023	477
809	2028	475
810	2030	473
811	2032	470
812	2034	467
813	2036	465
814	2037	462
815	2040	460
816	2042	457
817	2044	454
818	2047	452
819	2049	449
820	2051	447
821	2053	444
822	2056	442
823	2058	439
824	2060	437
825	2062	434
826	2064	431
827	2065	429
828	2067	426
829	2071	424
830	2073	421
831	2075	419
832	2077	416
833	2079	413
834	2081	411
835	2083	408
836	2086	406
837	2088	403
838	2091	401
839	2093	398
840	2095	396
841	2097	393
842	2099	391
843	2101	388
844	2103	385
845	2106	383
846	2108	380
847	2110	378
848	2113	375
849	2117	373
850	2119	371
851	2121	368
852	2123	365
853	2125	363
854	2127	360
855	2132	358
856	2134	356
857	2136	353
858	2139	351
859	2141	348
860	2143	346
861	2147	343
862	2150	341
863	2152	338
864	2154	336
865	2156	333
866	2160	331
867	2162	328
868	2166	326
869	2168	323
870	2170	321
871	2174	319
872	2177	316
873	2181	314
874	2183	311
875	2190	310
876	2193	307
877	2197	305
878	2206	303
879	2209	301
880	2211	298
881	2213	296
882	2215	293
883	2217	290
884	2220	288
885	2222	285
886	2224	283
887	2226	280
888	2227	278
889	2228	275
890	2230	272
891	2233	270
892	2235	267
893	2237	265
894	2240	262
895	2243	260
896	2245	257
897	2248	255
898	2250	252
899	2252	250
900	2254	247
901	2256	245
902	2257	242
903	2259	239
904	2261	237
905	2264	234
906	2265	232
907	2267	229
908	2269	227
909	2271	224
910	2273	222
911	2275	219
912	2278	217
913	2280	214
914	2282	212
915	2284	209
916	2286	206
917	2288	204
918	2290	201
919	2292	199
920	2294	196
921	2297	194
922	2298	191
923	2300	189
924	2302	186
925	2304	184
926	2307	181
927	2309	179
928	2311	176
929	2313	174
930	2315	171
931	2317	169
932	2319	166
933	2322	164
934	2324	161
935	2326	159
936	2328	156
937	2330	154
938	2333	151
939	2335	149
940	2337	146
941	2340	144
942	2342	141
943	2343	139
944	2345	136
945	2347	133
946	2349	131
947	2351	128
948	2353	126
949	2355	123
950	2357	121
951	2358	118
952	2360	116
953	2362	113
954	2367	111
955	2369	109
956	2370	106
957	2372	104
958	2374	101
959	2376	99
960	2378	96
961	2380	94
962	2383	91
963	2385	89
964	2386	86
965	2388	84
966	2390	81
967	2391	79
968	2394	76
969	2396	74
970	2398	71
971	2400	69
972	2402	66
973	2404	64
974	2406	61
975	2408	59
976	2411	56
977	2413	54
978	2415	51
979	2417	49
980	2419	46
981	2420	44
982	2422	41
983	2425	39
984	2427	36
985	2429	34
986	2430	32
987	2432	29
988	2434	27
989	2435	24
990	2437	22
991	2441	19
992	2442	17
993	2444	14
994	2446	12
995	2447	9
996	2449	7
997	2451	4
998	2453	2
999	2455	0
